car_name, model, mpg,  odometer, miles, gallons, price, city_percentage, fuelup_date, date_added, tags, notes, missed_fuelup, partial_fuelup, latitude, longitude, brand
"Pathfinder","Nissan Pathfinder",0,144692.0,237,5.069,2.959,50,2019-03-11,2019-03-11 01:50:55,"","",0,1,,,""
"Pathfinder","Nissan Pathfinder",15.82,144455.0,289,18.269,3.099,50,2019-03-08,2019-03-08 02:17:39,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.5,144166.0,252,16.263,3.189,50,2019-02-23,2019-02-23 00:21:15,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.51,143914.0,285,17.266,3.249,25,2019-02-16,2019-02-16 01:41:16,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",21.39,143629.0,279,13.046,3.209,50,2019-02-04,2019-02-04 10:02:17,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.86,143350.0,272,16.132,3.149,50,2019-01-25,2019-01-25 23:19:16,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.5,143078.0,203,16.068,2.959,0,2019-01-05,2019-01-05 21:51:22,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",0,142875.0,176,6.899,2.899,50,2019-01-04,2019-01-04 06:23:02,"","",0,1,,,""
"Pathfinder","Nissan Pathfinder",18.14,142699.0,48,15.895,3.499,75,2019-01-02,2019-01-02 22:15:18,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",0,142651.0,297,3.126,3.199,5,2018-12-31,2018-12-31 23:35:16,"","",0,1,,,""
"Pathfinder","Nissan Pathfinder",16.5,142354.0,265,16.06,2.959,50,2018-12-27,2018-12-27 00:26:25,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",17.05,142089.0,265,15.541,2.999,50,2018-12-20,2018-12-20 01:33:17,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",17.68,141824.0,109,17.202,3.349,50,2018-12-14,2018-12-14 04:12:22,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",0,141715.0,274,4.466,3.359,50,2018-12-07,2018-12-07 02:15:53,"","",0,1,,,""
"Pathfinder","Nissan Pathfinder",17.28,141441.0,285,16.496,3.549,50,2018-12-01,2018-12-01 00:40:39,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",0,141156.0,0,16.904,3.589,50,2018-11-23,2018-11-23 23:23:59,"","",1,0,,,""
"Pathfinder","Nissan Pathfinder",0,140712.0,206,4.286,3.5,25,2018-11-12,2018-11-15 00:54:20,"","",0,1,,,""
"Pathfinder","Nissan Pathfinder",19.3,140506.0,323,16.74,3.689,10,2018-11-11,2018-11-11 02:00:15,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.09,140183.0,279,17.34,3.739,50,2018-11-03,2018-11-03 20:02:15,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",19.35,139904.0,285,14.727,3.749,50,2018-10-07,2018-10-07 23:54:12,"","",0,0,,,""
